method,bandwidth,n_clusters,ari,nmi,time
mine,0.5,63,0.15809829713026718,0.5369101230012356,0.41066503524780273
sklearn,0.5,62,0.1561399293145932,0.5384982727772223,1.0908517837524414
mine,0.5,63,0.15809829713026718,0.5369101230012356,0.3919813632965088
sklearn,0.5,62,0.1561399293145932,0.5384982727772223,1.1920320987701416
mine,0.5,63,0.15809829713026718,0.5369101230012356,0.3875277042388916
sklearn,0.5,62,0.1561399293145932,0.5384982727772223,1.1454737186431885
mine,0.5,63,0.15809829713026718,0.5369101230012356,0.39154624938964844
sklearn,0.5,62,0.1561399293145932,0.5384982727772223,1.1057636737823486
mine,0.5,63,0.15809829713026718,0.5369101230012356,0.39214348793029785
sklearn,0.5,62,0.1561399293145932,0.5384982727772223,1.2008845806121826
mine,1.0,5,0.987038624379854,0.9850826357350425,0.395733118057251
sklearn,1.0,5,0.987038624379854,0.9850826357350425,1.7916419506072998
mine,1.0,5,0.987038624379854,0.9850826357350425,0.39337873458862305
sklearn,1.0,5,0.987038624379854,0.9850826357350425,1.8154969215393066
mine,1.0,5,0.987038624379854,0.9850826357350425,0.3956427574157715
sklearn,1.0,5,0.987038624379854,0.9850826357350425,1.7879188060760498
mine,1.0,5,0.987038624379854,0.9850826357350425,0.39867424964904785
sklearn,1.0,5,0.987038624379854,0.9850826357350425,1.7985703945159912
mine,1.0,5,0.987038624379854,0.9850826357350425,0.39258456230163574
sklearn,1.0,5,0.987038624379854,0.9850826357350425,1.787588119506836
mine,1.5,4,1.0,1.0,0.2330789566040039
sklearn,1.5,4,1.0,1.0,1.1066877841949463
mine,1.5,4,1.0,1.0,0.2616140842437744
sklearn,1.5,4,1.0,1.0,1.1290514469146729
mine,1.5,4,1.0,1.0,0.24657201766967773
sklearn,1.5,4,1.0,1.0,1.2290935516357422
mine,1.5,4,1.0,1.0,0.2516772747039795
sklearn,1.5,4,1.0,1.0,1.2868499755859375
mine,1.5,4,1.0,1.0,0.29401516914367676
sklearn,1.5,4,1.0,1.0,1.335695505142212
mine,2.0,4,1.0,1.0,0.20627927780151367
sklearn,2.0,4,1.0,1.0,1.1915149688720703
mine,2.0,4,1.0,1.0,0.21184468269348145
sklearn,2.0,4,1.0,1.0,1.0978078842163086
mine,2.0,4,1.0,1.0,0.19351506233215332
sklearn,2.0,4,1.0,1.0,0.8989334106445312
mine,2.0,4,1.0,1.0,0.21847963333129883
sklearn,2.0,4,1.0,1.0,0.9841094017028809
mine,2.0,4,1.0,1.0,0.22707033157348633
sklearn,2.0,4,1.0,1.0,0.9506802558898926
mine,2.5,4,1.0,1.0,0.1651456356048584
sklearn,2.5,4,1.0,1.0,0.7760968208312988
mine,2.5,4,1.0,1.0,0.3997330665588379
sklearn,2.5,4,1.0,1.0,1.7642247676849365
mine,2.5,4,1.0,1.0,0.15675997734069824
sklearn,2.5,4,1.0,1.0,0.9036569595336914
mine,2.5,4,1.0,1.0,0.16728639602661133
sklearn,2.5,4,1.0,1.0,0.9025726318359375
mine,2.5,4,1.0,1.0,0.1922605037689209
sklearn,2.5,4,1.0,1.0,1.2263591289520264
mine,3.0,4,1.0,1.0,0.16130518913269043
sklearn,3.0,4,1.0,1.0,0.6532304286956787
mine,3.0,4,1.0,1.0,0.13826489448547363
sklearn,3.0,4,1.0,1.0,0.6048581600189209
mine,3.0,4,1.0,1.0,0.12489795684814453
sklearn,3.0,4,1.0,1.0,0.6108348369598389
mine,3.0,4,1.0,1.0,0.13939261436462402
sklearn,3.0,4,1.0,1.0,0.7867507934570312
mine,3.0,4,1.0,1.0,0.17832303047180176
sklearn,3.0,4,1.0,1.0,0.7228703498840332
mine,3.5,4,1.0,1.0,0.11932110786437988
sklearn,3.5,4,1.0,1.0,0.5622110366821289
mine,3.5,4,1.0,1.0,0.1000056266784668
sklearn,3.5,4,1.0,1.0,0.532705545425415
mine,3.5,4,1.0,1.0,0.09978055953979492
sklearn,3.5,4,1.0,1.0,0.5443270206451416
mine,3.5,4,1.0,1.0,0.09186124801635742
sklearn,3.5,4,1.0,1.0,0.5261745452880859
mine,3.5,4,1.0,1.0,0.1089632511138916
sklearn,3.5,4,1.0,1.0,0.5055372714996338
mine,4.0,4,1.0,1.0,0.1406404972076416
sklearn,4.0,4,1.0,1.0,1.1299676895141602
mine,4.0,4,1.0,1.0,0.1630253791809082
sklearn,4.0,4,1.0,1.0,0.6301467418670654
mine,4.0,4,1.0,1.0,0.12823796272277832
sklearn,4.0,4,1.0,1.0,0.515432596206665
mine,4.0,4,1.0,1.0,0.12476587295532227
sklearn,4.0,4,1.0,1.0,0.505547285079956
mine,4.0,4,1.0,1.0,0.1752760410308838
sklearn,4.0,4,1.0,1.0,0.5392775535583496
